city,Average spend in GBP
Preston,53.36
Milton Keynes,49.27
Aberdeen,48.8
York,48.21
Edinburgh,47.84
Plymouth,47.2
Huddersfield,46.4
Birmingham,46.27
Bedford,46.26
Glasgow,46.17
Stockport,45.81
Doncastle,45.26
Newcastle,44.99
Liverpool,44.84
Bradford,44.26
Wigan,44.08
Reading,43.96
London,43.3
Bolton,43.19
Bournemouth,43.06
Oldham,42.72
Colchester,42.6
Northampton,42.5
Leeds,42.38
Cardiff,42.1
Manchester,41.54
Stoke-on-Trent,41.42
Norwich,41.32
Barnsley,41.15
Warrington,41.08
Middlesborough,39.69
Ipswich,38.77
Leicester,38.38
Newport,37.87
Swansea,37.86
Lincoln,37.71
Derby,37.59
Rotherham,36.95
Nottingham,36.89
Luton,36.46
Brighton,36.2
Peterborough,36.08
Sheffield,35.56
Bristol,35.55
Wolverhampton,35.21
Swindon,34.63
Southampton,34.51
Hull,32.55
Coventry,29.67
Walsall,26.74
National average,45.1
