Country,Number of cases
World,86899347
USA,21579641
India,10375478
Brazil,7812007
Russia,3308601
UK,2774479
France,2680239
Turkey,2270101
Italy,2181619
Spain,1982544
Germany,1814565
Colombia,1702966
Argentina,1662730
Mexico,1466490
Poland,1330543
Iran,1255620
South Africa,1127759
Ukraine,1090496
Peru,1022018
Netherlands,834064
Indonesia,779548
Czechia,776967
Belgium,652735
Romania,648288
Chile,623101
Canada,618646
Iraq,599126
Bangladesh,517920
Pakistan,492594
Philippines,480737
Sweden,469748
Switzerland,465981
Israel,458132
Morocco,445439
Portugal,436579
Austria,369721
Saudi Arabia,363259
Serbia,349238
Hungary,331768
Jordan,301303
Nepal,262784
Panama,259770
Japan,247960
Georgia,233879
Azerbaijan,221401
UAE,216699
Ecuador,216083
Croatia,214390
Bulgaria,205390
Belarus,203104
Lebanon,195759
Slovakia,191088
Dominican Republic,175849
Costa Rica,173591
Denmark,172779
Bolivia,165268
Armenia,160853
Kazakhstan,159044
Lithuania,152215
Kuwait,152027
Tunisia,147061
Moldova,146921
Qatar,144852
Egypt,144583
Palestine,143169
Greece,141453
Guatemala,139419
Oman,129774
Slovenia,128370
Myanmar,127584
Ethiopia,126241
Honduras,123822
Malaysia,122845
Venezuela,114662
Bosnia and Herzegovina,113392
Ireland,113322
Paraguay,110796
Libya,102456
Algeria,100873
Kenya,97127
Bahrain,93995
Nigeria,92705
China,87215
North Macedonia,84709
Kyrgyzstan,81656
Uzbekistan,77350
S. Korea,65818
Albania,60283
Singapore,58780
Ghana,55168
Afghanistan,53105
Norway,52180
Montenegro,50054
El Salvador,47355
Luxembourg,47149
Sri Lanka,45726
Latvia,43942
Finland,37218
Uganda,36407
Estonia,30667
Australia,28536
Cameroon,26848
Namibia,25887
Cyprus,25208
Sudan,23316
Ivory Coast,22855
Zambia,22645
Uruguay,22104
Senegal,19964
Mozambique,19542
DRC,18248
Madagascar,17767
Angola,17756
Zimbabwe,17194
French Polynesia,17088
Botswana,15440
Mauritania,14981
Maldives,13930
Guinea,13845
French Guiana,13497
Malta,13388
Tajikistan,13305
Jamaica,13246
Cuba,12964
Cabo Verde,11983
Syria,11890
Belize,11018
Eswatini,10338
Haiti,10127
Gabon,9605
Thailand,9331
Réunion,9118
Hong Kong,9050
Rwanda,8955
Guadeloupe,8776
Andorra,8308
Bahamas,7928
Mali,7349
Burkina Faso,7342
Trinidad and Tobago,7186
Malawi,7110
Congo,7107
Suriname,6586
Guyana,6407
Nicaragua,6097
Martinique,6091
Mayotte,6045
Djibouti,5854
Iceland,5811
Aruba,5716
Equatorial Guinea,5279
CAR,4963
Somalia,4714
Curaçao,4342
Gambia,3812
Togo,3770
South Sudan,3589
Niger,3557
Benin,3304
Lesotho,3206
Channel Islands,3164
Sierra Leone,2724
Gibraltar,2626
San Marino,2549
Guinea-Bissau,2455
Chad,2289
Liechtenstein,2246
New Zealand,2186
Yemen,2101
Liberia,1779
Vietnam,1504
Sint Maarten,1504
Eritrea,1445
Mongolia,1349
Sao Tome and Principe,1024
Comoros,995
Saint Martin,995
Monaco,947
Turks and Caicos,918
Burundi,842
Taiwan,819
Papua New Guinea,799
Bhutan,734
Diamond Princess,712
Barbados,692
Bermuda,632
Faeroe Islands,626
Mauritius,531
Tanzania,509
Isle of Man,386
Cambodia,383
Saint Lucia,380
Seychelles,354
Cayman Islands,350
Caribbean Netherlands,249
St. Barth,190
Brunei,172
Antigua and Barbuda,160
St. Vincent Grenadines,133
Grenada,127
British Virgin Islands,97
Dominica,88
Fiji,53
Timor-Leste,49
Macao,46
Laos,41
New Caledonia,40
Saint Kitts and Nevis,33
Falkland Islands,29
Greenland,28
Vatican City,27
Solomon Islands,17
Saint Pierre Miquelon,16
Anguilla,15
Montserrat,13
Western Sahara,10
MS Zaandam,9
Marshall Islands,4
Wallis and Futuna,4
Samoa,2
Vanuatu,1
