Country,Average cost per square meter in euros
London**,16024
Geneva,12670
Zurich,12030
Paris,10175
Luxembourg,10000
Munich,8442
Bern,6990
Stockholm,6892
Oslo,6722
Amsterdam,6550
Frankfurt,6264
Innsbruck,5992
Copenhagen,5456
Vienna,5359
Hamburg,5241
Dublin,5200
Utrecht,5100
Helsinki (Metropolitan area),4980
Berlin,4836
Stuttgart,4773
Gothenburg,4601
Lyon,4589
Rotterdam,4550
Bordeaux,4505
Aarhus,4384
Dusseldorf,4263
Cologne,4185
Barcelona,4115
Eindhoven,4100
The Hague,4100
Brussels,4000
Cork,3860
Madrid,3750
Antwerp,3750
Graz,3438
Tampere,3430
Nantes,3289
Turku,3230
Toulouse,3165
Manchester**,3110
Prague,3000
Montpellier,2951
Birmingham**,2935
Leeds**,2872
Jyväskylä,2850
Malmo,2831
Oulu,2680
Marseille,2597
Liège,2250
Wroclaw**,2230
Warsaw**,2230
Brno,2200
Seville,2075
Lahti,2070
Malaga,2035
Tallinn,2000
Krakow**,1823
Vilnius,1700
Riga,1600
