Company,Value in billion U.S. dollars
"The We Company, New York, Real estate technology Corporate",6.55
"Tenglong, Bejing, Systems & information management Series A",3.7
"Paytm, Noida, India, Financial software Series G",1.7
"Beike (Real Estate), Beijing, Real estate technology Late-stage VC",1.0
"DoorDash, San Francisco, Restaurant technology Series G",0.7
"Bright Health, Minneapolis, Life & health insurance Series D",0.64
"Deliveroo, London, Restaurant technology Series G",0.56
"Udaan, Bangalore, Business software Series D",0.5
"Magic Leap, Plantation, FL, Virtual reality Series E",0.5
"Chime (Financial Software), San Francisco, Financial software Series E",0.5
