Year,GDP per capita in U.S. dollars
2025*,1323.35
2024*,1279.95
2023*,1242.6
2022*,1157.5
2021*,1018.32
2020*,924.21
2019*,1185.4
2018*,1215.15
2017*,1223.38
2016,1130.72
2015,1115.75
2014,1330.37
2013,1273.88
2012,1358.87
2011,1431.87
2010,1309.59
2009,1083.0
2008,922.43
2007,1001.12
2006,870.72
2005,851.05
2004,794.36
2003,637.05
2002,441.12
2001,403.3
2000,487.53
1999,501.76
1998,511.82
1997,555.91
1996,527.61
1995,552.97
1994,517.01
1993,500.56
1992,513.34
1991,460.13
1990,411.21
1989,350.49
1988,346.85
1987,313.97
1986,251.6
1985,224.45
