Response,Percentage of adults
District of Columbia,4.75%
Colorado,4.13%
Vermont,3.63%
Oregon,3.3%
Massachusetts,3.12%
California,3.04%
New Hampshire,2.89%
New York,2.82%
Rhode Island,2.79%
Washington,2.64%
Minnesota,2.59%
Wisconsin,2.47%
Nevada,2.44%
Illinois,2.41%
Alaska,2.38%
Delaware,2.37%
Indiana,2.3%
Pennsylvania,2.27%
U.S. total,2.26%
Hawaii,2.25%
New Mexico,2.24%
South Carolina,2.23%
Connecticut,2.21%
Maine,2.16%
Florida,2.13%
Arizona,2.12%
Oklahoma,2.1%
Maryland,2.08%
Michigan,2.08%
Montana,2.03%
Tennessee,2.02%
North Carolina,1.99%
Nebraska,1.98%
Georgia,1.98%
Virginia,1.96%
West Virginia,1.93%
Kentucky,1.85%
Alabama,1.83%
Utah,1.76%
Kansas,1.75%
Ohio,1.7%
Louisiana,1.62%
Mississippi,1.6%
New Jersey,1.58%
North Dakota,1.58%
Iowa,1.57%
Missouri,1.55%
Texas,1.54%
Arkansas,1.49%
Idaho,1.46%
Wyoming,1.39%
South Dakota,1.22%
