Year,Cumulative number of cases
1/4/2021,611424
1/3/2021,601663
1/2/2021,595085
1/1/2021,588277
12/31/2020,581402
12/30/2020,572982
12/29/2020,565506
12/28/2020,559064
12/27/2020,553274
12/26/2020,547371
12/25/2020,539242
12/24/2020,535150
12/23/2020,528354
12/22/2020,521509
12/21/2020,515314
12/20/2020,508933
12/19/2020,502244
12/18/2020,495345
12/17/2020,488638
12/16/2020,481630
12/15/2020,475214
12/14/2020,468862
12/13/2020,462131
12/12/2020,455551
12/11/2020,448841
12/10/2020,442069
12/9/2020,435330
12/8/2020,429035
12/7/2020,423054
12/6/2020,416555
12/5/2020,409568
12/4/2020,402569
12/3/2020,396269
12/2/2020,389775
12/1/2020,383468
11/30/2020,378139
11/29/2020,372036
11/28/2020,365560
11/27/2020,359064
11/26/2020,353097
11/25/2020,347466
11/24/2020,342444
11/23/2020,337555
11/22/2020,331842
11/21/2020,326424
11/20/2020,320719
11/19/2020,315751
11/18/2020,311109
11/17/2020,306468
11/16/2020,302192
11/15/2020,297390
11/14/2020,292585
11/13/2020,287318
11/12/2020,282577
11/11/2020,277596
11/10/2020,273037
11/9/2020,268735
11/8/2020,264649
11/7/2020,260055
11/6/2020,255809
11/5/2020,252140
11/4/2020,248218
11/3/2020,244935
11/2/2020,241961
11/1/2020,238688
10/31/2020,235444
10/30/2020,231999
10/29/2020,228542
10/28/2020,225586
10/27/2020,222887
10/26/2020,220213
10/25/2020,216104
10/24/2020,213959
10/23/2020,211732
10/22/2020,209148
10/21/2020,206360
10/20/2020,203688
10/19/2020,201437
10/18/2020,198148
10/17/2020,196321
10/16/2020,194106
10/15/2020,191730
10/14/2020,189385
10/13/2020,186881
10/12/2020,182839
10/11/2020,181864
10/10/2020,180179
10/9/2020,178117
10/8/2020,175559
10/7/2020,173123
10/6/2020,171323
10/5/2020,168960
10/4/2020,166156
10/3/2020,164471
10/2/2020,162659
10/1/2020,160535
9/30/2020,158758
9/29/2020,156961
9/28/2020,155301
9/27/2020,153125
9/26/2020,151671
9/25/2020,150456
9/24/2020,149094
9/23/2020,147753
9/22/2020,146663
9/21/2020,145415
9/20/2020,143649
9/19/2020,142774
9/18/2020,141911
9/17/2020,140867
9/16/2020,139747
9/15/2020,138803
9/14/2020,138010
9/13/2020,136659
9/12/2020,136141
9/11/2020,135626
9/10/2020,134924
9/9/2020,134294
9/8/2020,133748
9/7/2020,132142
9/6/2020,131895
9/5/2020,131495
9/4/2020,131124
9/3/2020,130493
9/2/2020,129923
9/1/2020,129425
8/31/2020,128948
8/30/2020,127940
8/29/2020,127673
8/28/2020,127310
8/27/2020,126848
8/26/2020,126417
8/25/2020,125969
8/24/2020,125647
8/23/2020,124896
8/22/2020,124629
8/21/2020,124372
8/20/2020,123873
8/19/2020,123490
8/18/2020,123154
8/17/2020,122872
8/16/2020,122087
8/15/2020,121889
8/14/2020,121652
8/13/2020,121234
8/12/2020,120829
8/11/2020,120406
8/10/2020,120117
8/9/2020,119436
8/8/2020,119206
8/7/2020,118970
8/6/2020,118546
8/5/2020,118172
8/4/2020,117777
8/3/2020,117017
8/2/2020,116870
8/1/2020,116585
7/31/2020,116298
7/30/2020,115785
7/29/2020,115392
7/28/2020,114980
7/27/2020,114584
7/26/2020,113898
7/25/2020,113543
7/24/2020,113193
7/23/2020,112659
7/22/2020,112227
7/21/2020,111684
7/20/2020,111113
7/19/2020,110327
7/18/2020,109988
7/17/2020,109658
7/16/2020,109253
7/15/2020,108816
7/14/2020,108475
7/13/2020,108144
7/12/2020,107579
7/11/2020,107335
7/10/2020,107114
7/9/2020,106793
7/8/2020,106422
7/7/2020,106155
7/6/2020,105923
7/5/2020,105524
7/4/2020,105305
7/3/2020,105079
7/2/2020,104760
7/1/2020,104193
6/30/2020,104193
6/29/2020,103907
6/28/2020,103239
6/27/2020,103021
6/26/2020,102783
6/25/2020,102611
6/24/2020,102231
6/23/2020,101952
6/22/2020,101626
6/21/2020,101326
6/20/2020,101008
6/19/2020,100618
6/18/2020,100209
6/17/2020,99842
6/16/2020,99456
6/15/2020,99136
6/14/2020,98776
6/13/2020,98399
6/12/2020,97932
6/11/2020,97519
6/10/2020,97114
6/9/2020,96642
6/8/2020,96233
6/7/2020,95688
6/6/2020,95046
6/5/2020,94324
6/4/2020,93715
6/3/2020,93074
6/2/2020,92399
6/1/2020,91694
5/31/2020,90936
5/30/2020,90179
5/29/2020,89407
5/28/2020,88501
5/27/2020,87508
5/26/2020,86636
5/25/2020,85700
5/24/2020,84688
5/23/2020,83610
5/22/2020,82469
5/21/2020,81313
5/20/2020,80112
5/19/2020,79101
5/18/2020,78061
5/17/2020,76991
5/16/2020,75853
5/15/2020,74602
5/14/2020,73477
5/13/2020,72267
5/12/2020,71146
5/11/2020,69970
5/10/2020,68837
5/9/2020,67691
5/8/2020,66423
5/7/2020,64911
5/6/2020,63485
5/5/2020,62035
5/4/2020,60761
5/3/2020,59463
5/2/2020,56703
5/1/2020,55050
4/30/2020,53225
4/29/2020,51587
4/28/2020,50015
4/27/2020,48489
4/26/2020,46884
4/25/2020,45341
4/24/2020,43877
4/23/2020,42099
4/22/2020,40179
4/21/2020,38413
4/20/2020,36823
4/19/2020,34777
4/18/2020,33341
4/17/2020,31872
