Industry,Employment change in thousands
Food services and drinking places,1389.5
Construction,807.5
Individual and family services,791.5
Home health care services,713.7
Computer systems design and related services,520.7
Offices of physicians,349.9
Nursing and residential care facilities,336.5
Outpatient care centers,331.0
Hospitals,322.7
"Management, scientific, and technical consulting services",292.8
Offices of other health practitioners,254.6
"Junior colleges, colleges, universities, and professional schools",221.6
Services to buildings and dwellings,197.6
Warehousing and storage,169.4
Elementary and secondary schools,137.1
Other amusement and recreation industries,122.7
"Local government, other compensation",121.4
Other educational services,114.8
Management of companies and enterprises,110.0
"Agencies, brokerages, and other insurance related activities",109.5
