ATM operator,Number of ATMs
Cardtronics,17564
NoteMachine,10506
NatWest,6966
PayPoint,3926
Barclays bank UK Plc,3488
Bank of Ireland,2267
YourCash,2204
Santander,2109
Lloyds bank,2041
Sainsbury's Bank,1819
Halifax,1737
HSBC,1571
Nationwide Building Society,1351
TSB Bank,754
Bank of Scotland,426
Travelex,362
Yorkshire Bank,233
Northern Bank,197
Clydesdale bank,150
Moneycorp,141
ChangeGroup,83
AIB Group,65
Coventry Building Society,60
Cumberland Building Society,20
Barclays Bank,14
Citibank,4
G4S,4
