Company,One-year growth rate
Microport Scientific,83.9%
Lumiradx,64.3%
Teladoc,57.3%
Lepu Medical Technology Beijing,51.4%
Invitae,36.6%
Align Technology,34.9%
Shenzhen Mindray Bio-Medical Electronics,30.8%
Becton Dickinson,30%
Surmodics,28.8%
Glaukos,27.7%
Globus Medical,27.1%
Cerus,26.3%
Masimo,26%
Teleflex,25.3%
Intuitive Surgical,25.1%
Healthequity,24.9%
Abiomed,24.2%
Eppendorf,24.1%
Varex Imaging,23.3%
Integra Lifesciences,23%
Cooper Companies,22.5%
Nuvasive,22.4%
Insulet,19%
Natus Medical,18.6%
Wright Medical,18%
Omnicell,17.9%
Conmed,17.5%
Sysmex,16.9%
Resmed,16.4%
Ypsomed,16.4%
Demant,16.2%
Quotient,16.1%
Merit Medical Systems,15.8%
Terumo,15.3%
Carl Zeiss,14.8%
Fresenius,14.5%
Penumbra,14.2%
Coloplast,13%
Edwards Lifesciences,12.6%
Asahi Intecc,12.3%
Avanos Medical,12.3%
Boston Scientific,11.6%
Varian Medical Systems,11.4%
Smith & Nephew,10.3%
Livanova,10.2%
Cochlear,10%
Stryker,9.5%
Thermo Fisher Scientific,8.9%
Puretech Health,8.3%
Topcon,8.1%
