Year,Population in thousands
2020,5792.2
2019,5771.88
2018,5752.13
2017,5732.28
2016,5711.35
2015,5688.7
2014,5664.2
2013,5638.15
2012,5610.91
2011,5582.98
2010,5554.85
2009,5526.39
2008,5497.73
2007,5469.92
2006,5444.29
2005,5421.7
2004,5402.75
2003,5386.97
2002,5372.8
2001,5358.06
2000,5341.19
1999,5321.77
1998,5300.38
1997,5277.71
1996,5254.86
1995,5232.71
1994,5211.33
1993,5190.75
1992,5171.65
1991,5154.91
1990,5141.12
1989,5130.36
1988,5122.44
1987,5117.28
1986,5114.65
1985,5114.25
1984,5116.06
1983,5119.61
1982,5123.35
1981,5125.3
1980,5123.95
1979,5118.71
1978,5109.69
1977,5097.05
1976,5081.26
1975,5062.73
1974,5041.41
1973,5017.25
1972,4990.55
1971,4961.76
1970,4931.24
1969,4899.29
1968,4866.07
1967,4831.75
1966,4796.48
1965,4760.46
1964,4723.62
1963,4686.27
1962,4649.34
1961,4614.03
1960,4581.1
1959,4550.68
1958,4522.34
1957,4495.22
1956,4468.35
1955,4440.78
1954,4411.66
1953,4380.31
1952,4346.19
1951,4308.92
1950,4268.28
1949,4230
1948,4190
1947,4140
1946,4100
1945,4050
1944,4010
1943,3970
1942,3920
1941,3880
1940,3850
1939,3810
1938,3780
1937,3750
1936,3720
1935,3690
1934,3660
1933,3630
1932,3600
1931,3580
1930,3550
1929,3520
1928,3490
1927,3450
1926,3420
1925,3390
1924,3360
1923,3330
1922,3310
1921,3270
1920,3240
1919,3210
1918,3170
1917,3130
1916,3100
1915,3060
1914,3030
1913,2990
1912,2960
1911,2920
1910,2890
1909,2850
1908,2820
1907,2790
1906,2750
1905,2720
1904,2690
1903,2660
1902,2630
1901,2600
1900,2570
1899,2540
1898,2510
1897,2480
1896,2450
1895,2430
1894,2400
1893,2370
1892,2350
1891,2320
1890,2300
1889,2270
1888,2250
1887,2230
1886,2210
1885,2190
1884,2170
1883,2140
1882,2120
1881,2100
1880,2080
1879,2060
1878,2040
1877,2020
1876,2000
1875,1980
1874,1960
1873,1950
1872,1930
1871,1910
1870,1890
1869,1870
1868,1850
1867,1830
1866,1810
1865,1790
1864,1770
1863,1750
1862,1730
1861,1710
1860,1690
1859,1680
1858,1660
1857,1630
1856,1610
1855,1590
1854,1580
1853,1560
1852,1540
1851,1520
1850,1500
1849,1490
1848,1470
1847,1460
1846,1440
1845,1430
1844,1410
1843,1400
1842,1380
1841,1370
1840,1360
1839,1350
1838,1340
1837,1330
1836,1320
1835,1310
1834,1310
1833,1300
1832,1290
1831,1280
1830,1270
1829,1260
1828,1250
1827,1240
1826,1220
1825,1210
1824,1200
1823,1190
1822,1180
1821,1170
1820,1160
1819,1150
1818,1140
1817,1130
1816,1120
1815,1110
1814,1110
1813,1100
1812,1090
1811,1080
1810,1070
1809,1070
1808,1060
1807,1050
1806,1040
1805,1040
1804,1030
1803,1020
1802,1010
1801,1010
1800,1000
...,-
1787,842
....,-
1769,798
