Year,Gross domestic product in billion international dollars
2021*,572.05
2020*,536.62
2019,572.9
2018,555.5
2017,534.5
2016,514.51
2015,501.66
2014,486.6
2013,470.33
2012,460.11
2011,448.14
2010,431.65
2009,414.8
2008,420.15
2007,410.3
2006,385.39
2005,364.76
2004,345.72
2003,325.05
2002,315.84
2001,305.71
2000,295.89
1999,279.05
1998,265.67
1997,257.66
1996,244.03
1995,236.52
1994,226.26
1993,214.61
1992,211.68
1991,203.84
1990,193.62
1989,180.96
1988,168.29
1987,155.23
1986,148.07
1985,142.55
1984,135.93
