industry,Quartely GDP forecast
Mining and Quarrying,-10.4%
Tourism and Hospitality,-67.4%
Administrative Services,-13.6%
Financial Services and Insurance,-7.1%
"Culture, Arts and Other Services",-60.4%
Energy and Utilities,-2.2%
Education,-8%
Agriculture,-1.3%
Health Services,14.7%
Professional and Scientific Services,-9.9%
Information and Communication,-3.9%
Public Administration and Defense,10%
Construction,-0.6%
Transportation and Logistics,-23.2%
Real Estate Services,-23.3%
Light Industries,-13.2%
Commerce and Repair,-16.1%
Heavy Industries,-29.1%
