Year,Gross domestic product in billion international dollars
2021*,605.5
2020*,576.84
2019,593.8
2018,579.38
2017,546.8
2016,514.38
2015,493.12
2014,473.88
2013,447.64
2012,419.62
2011,394.14
2010,363.06
2009,313.36
2008,310.62
2007,299.1
2006,267.17
2005,237.9
2004,214.9
2003,190.56
2002,178.96
2001,169.54
2000,167.69
1999,150.43
1998,140.26
1997,141.81
1996,128.7
1995,117.6
1994,107.45
1993,94.69
1992,82.99
1991,76.09
1990,68.98
1989,60.55
1988,52.89
1987,45.92
1986,40.44
1985,39.12
1984,38.16
