cultural sites in Paris,"Number of visitors in 1,000s"
Notre-Dame de Paris*,12000
Basilique du Sacré-Coeur de Montmartre*,10000
Louvre Museum,8022
Eiffel Tower,6207
Centre Pompidou,3337
Orsay Museum,3178
Science and Industry Museum,2439
Chapelle Notre-Dame de la médaille miraculeuse*,2000
National Museum of Natural History - Jardin des Plantes,1763
Arc de Triomphe,1583
Grand Palais,1412
Louis Vuitton Foundation,1402
The Army Museum,1177
Quai Branly Museum - Jacques Chirac,1174
Petit Palais,1171
Sainte-Chapelle,1051
Musée de l'Orangerie,938
Musée des Arts Décoratifs,870
Montparnasse56,831
Pantheon,720
Opéra de Paris - Palais Garnier,667
Paris Zoological Park,660
Palais de Tokyo,635
Grévin Museum**,626
Picasso Museum,612
Paris Catacombs,538
City of Paris Museum of Modern Art,506
Tours of Notre-Dame,432
Palais de la Porte Dorée**,420
Palais de la Découverte**,418
Conciergerie,387
Cinémathèque,380
Jacquemart-André Museum,320
Luxembourg Museum,298
Cluny Museum,245
Crypt of Notre-Dame,171
House of Victor Hugo,166
Jeu de Paume,155
Galliera Museum,140
Cité de l'architecture et du patrimoine**,132
St. Denis Basilic,126
Musée de l'Homme,122
Château of Vincennes,119
Museum of Hunting and Nature,119
Musée Bourdelle,117
Musée d’Art et d’Histoire du Judaïsme,99
Musée de la Vie romantique,97
Cognacq-Jay Museum,78
Delacroix Museum,76
"Yves Saint-Laurent Museum (inaugurated on October 3, 2017)",74
Cernuschi Museum,53
Nissim Museum of Camondo,50
Zadkine Museum,31
Musée de la marine**,28
Maison de Balzac,27
Chapelle expiatoire,24
Le Corbusier Foundation,16
M. du G. Leclerc de H. - Jean Moulin Museum,14
Musée d'Histoire de la Médecine - U. Paris Descartes,9
Carnavalet Museum**,8
Polish Library in Paris,4
Maison d'Auguste Comte,3
