Religious Minority Group,Number of Italian citizens belonging to religious minorities
Muslims,417900
Jehovah's Witnesses (and analogous),409100
Protestants,382400
Orthodox Christians,320800
Buddhists,205500
Hindus and neo-Hindus,47500
Jews,36500
Human potential groups,30000
Mormons (and analogous),27800
"""Fringe"" and dissident Roman Catholics",24800
"Sikhs, Radha Swami and derivative groups",20500
Organized New Age and Next Age groups,20000
"Esoteric and ""ancient wisdom"" groups",16500
Other Christian creeds,7800
Other oriental groups,5800
Baha'is and other religions of Islamic inspiration,4400
Osho and derivative groups,4000
New Japanese Religions,3600
Other,14500
