employee name and occupation,Annual salary in million GBP
Gary Lineker (Sports presenter),1.75
Chris Evans* (Multi-genre presenter),1.25
Graham Norton  (Multi-genre),0.61
Huw Edwards (Multi-genre),0.49
Steve Wright (Radio),0.47
Alan Shearer (Sport),0.44
Andrew Marr (Multi-genre),0.39
Claudia Winkleman (Multi-genre presenter),0.37
Zoe Ball ( (Multi-genre presenter),0.37
Jason Mohammad (Radio/TV presenter),0.36
Vanessa Feltz (Radio/TV personality),0.36
Nicky Campbell (Radio/TV presenter),0.34
Steve Nolan (Radio/TV presenter),0.33
George Alagiah (Newsreader),0.32
Nick Grimshaw (Radio/TV presenter),0.31
Lauren Laverne (Multi-genre),0.3
