Response,Share of respondents
Hotel guests that are loud neighbors,65%
People who are rude to other travelers and hotel guests,64%
Guests that are rude to hotel staff,56%
"Those that line jump for a taxi or ""steal"" a taxi from another guest",51%
Hotel guests that make a mess in common areas,45%
"Travelers that complain about being disturbed by housekeeping when they do not put up the ""Do Not Disturb"" sign",34%
Travelers that take things they are not supposed to take from their rooms,33%
"Guests that do not tip the bellmen, porters or housekeeping",24%
Travelers that have more people stay in their hotel room than allowed,22%
People that leave their luggage in the hall,19%
