State,Number of robberies
California,52301
Texas,28988
New York,18068
Florida,16217
Illinois,12464
Pennsylvania,9743
Maryland,9203
Ohio,8846
Georgia,7961
North Carolina,7599
Arizona,6410
Tennessee,6150
New Jersey,5730
Michigan,5350
Indiana,5331
Washington,5147
Missouri,4959
Louisiana,4025
Alabama,3941
Colorado,3663
Massachusetts,3613
Virginia,3524
South Carolina,3294
Nevada,3286
Minnesota,3149
Wisconsin,2991
District of Columbia,2713
Oklahoma,2369
New Mexico,2341
Oregon,2276
Kentucky,2161
Connecticut,1929
Mississippi,1700
Arkansas,1557
Kansas,1293
Hawaii,1131
Utah,1125
Iowa,863
Alaska,826
Nebraska,792
Delaware,790
Rhode Island,418
West Virginia,378
New Hampshire,313
Montana,205
South Dakota,195
Maine,188
North Dakota,179
Idaho,155
Vermont,71
Wyoming,67
