Year,Gross domestic product in billion international dollars
2021*,2582.07
2020*,2458.34
2019,2616.29
2018,2575.21
2017,2461.38
2016,2365.78
2015,2275.31
2014,2180.18
2013,2082.17
2012,2018.93
2011,1911.32
2010,1806.05
2009,1698.33
2008,1779.54
2007,1725.85
2006,1643.05
2005,1526.18
2004,1446.7
2003,1355.62
2002,1311.93
2001,1292.02
2000,1269.42
1999,1183.19
1998,1135.09
1997,1067.34
1996,982.01
1995,903.18
1994,944.02
1993,880.76
1992,837.45
1991,790.79
1990,733.98
1989,672.69
1988,621.78
1987,592.99
1986,568.88
1985,575.37
1984,545.79
