state of Mexico,Price in thousand Mexican pesos
Mexico City,2911.55
Querétaro,1572.83
Morelos,1461.39
State of Mexico,1342.19
Jalisco,1298.59
Nayarit,1280.82
Baja California Sur,1154.56
San Luis Potosí,1141.91
National average,1141.89
Guerrero,1127.65
Oaxaca,1104.1
Yucatán,1102.27
Quintana Roo,1081.32
Nuevo León,1072.33
Baja California,1058.69
Tabasco,1056.94
Puebla,1053.9
Sinaloa,994.37
Campeche,979.83
Chiapas,966.45
Michoacán,964.06
Guanajuato,931.4
Chihuahua,929.55
Aguascalientes,917.89
Sonora,911.22
Veracruz,876.78
Hidalgo,863.43
Colima,822.71
Zacatecas,777.59
Coahuila,772.43
Tlaxcala,729.13
Durango,676.62
Tamaulipas,662.96
