Month,Inflation rate
Jul '20,3.5%
Jun '20,4.2%
May '20,2.7%
Apr '20,2.5%
Mar '20,1.8%
Feb '20,1.8%
Jan '20,3.1%
Dec '19,4.8%
Nov '19,6.6%
Oct '19,8.2%
Sep '19,8.8%
Aug '19,10.2%
Jul '19,9.9%
Jun '19,8.5%
May '19,9.2%
Apr '19,7.4%
Mar '19,7%
Feb '19,7.8%
Jan '19,7.9%
Dec '18,7.8%
Nov '18,7.5%
Oct '18,7%
Sep '18,6.7%
Aug '18,7.1%
Jul '18,7.1%
Jun '18,9.5%
May '18,13.7%
Apr '18,17.2%
Mar '18,17.3%
Feb '18,17.3%
Jan '18,17.9%
Dec '17,17.7%
Nov '17,17.9%
Oct '17,18%
Sep '17,18.8%
Aug '17,16.8%
Jul '17,16.3%
Jun '17,15%
May '17,10.6%
Apr '17,8.3%
Mar '17,7.2%
Feb '17,5.3%
Jan '17,3%
Dec '16,3.3%
Nov '16,3.4%
Oct '16,4.9%
Sep '16,4.2%
Aug '16,5.1%
Jul '16,4.4%
Jun '16,3.2%
May '16,3.9%
Apr '16,6.9%
Mar '16,11.4%
Feb '16,29.7%
Jan '16,38.1%
Dec '15,41.5%
Nov '15,44.7%
Oct '15,43%
Sep '15,45.1%
Aug '15,47.5%
Jul '15,49.9%
Jun '15,51.9%
May '15,53%
