Response,Share of respondents
Sending/receiving emails,85%
Finding information about goods or services,81%
Internet banking,76%
Using instant messaging services (eg Skype or WhatsApp),71%
Social networking (eg Facebook or Twitter),70%
"Reading online news, newspapers or magazines",70%
Listening to or downloading music,62%
"Looking for health-related information (eg injury, disease, nutrition, improving health etc)",60%
Making video or voice calls over the internet (eg via Skype or Facetime),49%
Selling goods or services over the internet,21%
Playing or downloading games,41%
Making a medical appointment,15%
Using online health services (website/app),15%
