Month,Inflation rate*
Oct '20,6.4%
Sep '20,7.3%
Aug '20,7.9%
Jul '20,7.9%
Jun '20,8%
May '20,8.7%
Apr '20,8.9%
Mar '20,7.7%
Feb '20,7%
Jan '20,6.9%
Dec '19,5.7%
Nov '19,5.2%
Oct '19,5%
Sep '19,4.8%
Aug '19,5.3%
Jul '19,5.8%
Jun '19,5.6%
May '19,5.1%
Apr '19,5%
Mar '19,5.2%
Feb '19,5%
Jan '19,3.8%
Dec '18,4.5%
Nov '18,4.2%
Oct '18,4.5%
Sep '18,4.6%
Aug '18,3.9%
Jul '18,3.3%
Jun '18,3.1%
May '18,3.8%
Apr '18,4.1%
Mar '18,4.1%
Feb '18,3.8%
Jan '18,4.5%
Dec '17,3.4%
Nov '17,3.4%
Oct '17,3.2%
Sep '17,3%
Aug '17,3.2%
Jul '17,3.3%
Jun '17,3.1%
May '17,2.5%
Apr '17,1.9%
Mar '17,2%
Feb '17,1.7%
Jan '17,1.1%
Dec '16,1%
Nov '16,0.4%
Oct '16,0%
Sep '16,0.5%
Aug '16,0.3%
Jul '16,-0.2%
Jun '16,-0.9%
May '16,-0.4%
Apr '16,0.6%
Mar '16,0.7%
Feb '16,1.3%
Jan '16,1.4%
Dec '15,2.2%
Nov '15,2%
Oct '15,1.7%
Sep '15,0.8%
Aug '15,0.9%
Jul '15,0.9%
Jun '15,1.4%
May '15,1.2%
