Retailer,Change from 2009 to 2010
"Toys ""R"" Us",58.6%
Best Buy,11.3%
Nordstrom,10.9%
Walgreen,8.1%
Subway,7.4%
Apple Stores / iTunes,7.4%
Aldi,7%
Dollar General,6.2%
ShopRite,5.8%
7-Eleven,5.5%
Darden Restaurants,5.3%
H-E-B,5.3%
Ahold USA / Royal Ahold,5.3%
Ross Stores,5%
Whole Foods Markets,4.7%
Publix,4.6%
Army Air Force Exchange,3.4%
Menard,3.2%
Bed Bath & Beyond,3.1%
Costco,2.5%
Kohl's,2.4%
TJX,2.3%
CVS Caremark,2%
Family Dollar,2%
Lowe's,1.7%
SUPERVALU,1.7%
Wal-Mart,1.3%
Staples,1.3%
Delhaize America,1.2%
BJ'S Wholesale Club,1.1%
YUM! Brands,0.9%
Target,0.6%
Macy's,0.6%
Meijer,0.5%
Burger King Holdings,0.3%
McDonald's,0.3%
Sears Holdings,0.1%
Verizon Wireless,0%
The Home Depot,0%
Amazon.com,0%
J.C. Penney,-0.2%
Kroger,-0.4%
Rite Aid,-0.9%
Ace Hardware,-1.1%
Limited Brands,-1.2%
Wendy's / Arby's Restaurants,-1.4%
Safeway,-2%
Gap,-2.3%
True Value,-4.2%
A&P,-11%
