Month,Number of cases
Jun 25,305
Jun 24,304
Jun 23,405
Jun 22,648
Jun 21,718
Jun 20,765
Jun 19,747
Jun 18,774
Jun 17,775
Jun 16,797
Jun 15,777
Jun 14,781
Jun 13,768
Jun 12,754
Jun 11,754
Jun 10,509
Jun 9,482
Jun 8,327
Jun 7,350
Jun 6,305
Jun 5,322
Jun 4,407
Jun 3,709
Jun 2,709
Jun 1,767
May 31,972
May 30,1069
May 29,1337
May 28,1018
May 27,832
May 26,706
May 25,862
May 24,994
May 23,927
May 22,838
May 21,910
May 20,842
May 19,530
May 18,495
May 17,998
May 16,1094
May 15,1275
May 14,1164
May 13,958
May 12,626
May 11,504
May 10,425
May 9,256
May 8,328
May 7,78
May 6,115
May 5,62
May 4,49
May 3,61
May 2,79
May 1,24
Apr 30,56
Apr 29,60
Apr 28,33
Apr 27,35
Apr 26,58
Apr 25,46
Apr 24,32
Apr 23,28
Apr 22,57
Apr 21,38
Apr 20,33
Apr 19,28
Apr 18,32
Apr 17,25
Apr 16,31
Apr 15,41
Apr 14,25
Apr 13,26
Apr 12,32
Apr 11,35
Apr 10,32
Apr 9,54
Apr 8,29
Apr 7,33
Apr 6,24
Apr 5,23
Apr 4,15
Apr 3,16
Apr 2,21
Apr 1,5
Mar 31,12
Mar 30,16
Mar 29,14
Mar 28,15
Mar 27,11
Mar 26,12
Mar 25,5
Mar 24,3
Mar 23,8
Mar 22,4
Mar 21,9
Mar 20,7
Mar 19,7
Mar 18,0
Mar 17,5
Mar 16,4
Mar 15,0
Mar 14,8
Mar 13,1
Mar 12,0
Mar 11,3
Mar 10,0
Mar 9,3
Mar 8,0
Mar 7,8
Mar 6,1
Mar 5,2
Mar 4,1
Mar 3,0
Mar 2,4
Mar 1,2
Feb 29,3
Feb 28,3
Feb 27,4
Feb 26,4
Feb 25,5
Feb 24,2
Feb 23,2
Feb 22,2
Feb 21,10
Feb 20,3
Feb 19,5
Feb 18,5
Feb 17,5
Feb 16,1
Feb 15,1
Feb 14,2
Feb 13,0
Feb 12,6
Feb 11,2
Feb 10,1
Feb 9,4
Feb 8,0
Feb 7,1
Feb 6,0
Feb 5,0
Feb 4,1
