State,Number of stores
California,417
Texas,255
Florida,221
Illinois,83
Arizona,82
Georgia,64
Pennsylvania,50
North Carolina,48
Washington,42
Virginia,40
Nevada,39
Colorado,38
Tennessee,36
Oregon,31
Oklahoma,27
Missouri,27
South Carolina,27
Maryland,26
Alabama,24
Utah,22
Hawaii,22
Indiana,20
Wisconsin,19
Louisiana,19
New Mexico,18
Kentucky,15
New Jersey,14
Kansas,12
Idaho,12
Arkansas,9
Mississippi,9
Iowa,6
Montana,6
Nebraska,5
Ohio,5
Delaware,3
North Dakota,3
Wyoming,3
South Dakota,2
District of Columbia,2
Guam,2
