Year,GDP per capita in U.S. dollars
2025*,49091.89
2024*,47693.47
2023*,46252.61
2022*,44805.97
2021*,43439.38
2020*,41559.51
2019,43603.01
2018,41720.58
2017,40491.33
2016,37293.84
2015,35828.17
2014,37695.56
2013,36359.93
2012,32556.96
2011,33713.12
2010,30670.34
2009,27726.36
2008,29557.07
2007,24907.92
2006,21836.34
2005,20559.21
2004,19885.35
2003,18963.27
2002,18433.05
2001,20302.39
2000,21038.05
1999,19127.56
1998,19416.23
1997,19682.85
1996,19334.86
1995,18088.17
1994,15641.5
1993,14055.78
1992,14354.76
1991,13306.31
1990,12457.36
1989,10888.82
1988,10886.15
1987,8934.32
1986,7602.2
1985,6271.23
