Month,Price in British pounds per kilogram
Nov '19,1.01
Oct '19,0.83
Sep '19,0.92
Aug '19,1.07
Jul '19,1.04
Jun '19,1.07
May '19,1.0
Apr '19,0.99
Mar '19,0.89
Feb '19,0.94
Jan '19,0.88
Dec '18,0.7
Nov '18,0.73
Oct '18,0.73
Sep '18,0.8
Aug '18,1.18
Jul '18,2.01
Jun '18,1.1
May '18,0.99
Apr '18,0.87
Mar '18,0.8
Feb '18,0.76
Jan '18,0.8
Dec '17,0.76
Nov '17,0.75
Oct '17,0.7
Sep '17,0.71
Aug '17,0.85
Jul '17,0.78
Jun '17,0.74
May '17,0.77
Apr '17,0.74
Mar '17,0.74
Feb '17,0.7
Jan '17,0.66
Dec '16,0.63
Nov '16,0.62
Oct '16,0.63
Sep '16,0.73
Aug '16,0.97
Jul '16,0.84
Jun '16,0.72
May '16,0.69
Apr '16,0.7
Mar '16,0.65
Feb '16,0.64
Jan '16,0.59
Dec '15,0.56
Nov '15,0.57
Oct '15,0.59
Sep '15,0.64
Aug '15,0.68
Jul '15,0.59
Jun '15,0.62
May '15,0.61
Apr '15,0.6
Mar '15,0.59
Feb '15,0.61
Jan '15,0.61
