Month/day/year,Index value
12/14/2020,30199.31
12/7/2020,30046.37
11/30/2020,30218.26
11/23/2020,29910.37
11/16/2020,29438.42
11/9/2020,29479.81
11/2/2020,28323.4
10/25/2020,26501.6
10/18/2020,28335.57
10/11/2020,28606.31
10/4/2020,28586.9
9/30/2020,27772.76
9/23/2020,27452.66
9/16/2020,27288.18
9/9/2020,27995.6
9/2/2020,27500.89
8/26/2020,28645.66
8/19/2020,28248.44
8/12/2020,27778.07
8/5/2020,27686.91
7/29/2020,26828.47
7/22/2020,26379.28
7/15/2020,26840.4
7/8/2020,26642.59
7/1/2020,25890.18
6/24/2020,25445.94
6/17/2020,26080.1
6/10/2020,26289.98
6/3/2020,27272.3
5/27/2020,25742.65
5/20/2020,24995.11
5/13/2020,24206.86
5/6/2020,23764.78
4/29/2020,23883.09
4/22/2020,24101.55
4/15/2020,23018.88
4/8/2020,23949.76
4/1/2020,22653.86
3/25/2020,21200.55
3/18/2020,20704.91
3/11/2020,21237.38
3/4/2020,25018.16
2/26/2020,25917.41
2/19/2020,27081.36
2/12/2020,29232.19
2/5/2020,29276.34
1/29/2020,28807.63
1/22/2020,28722.85
1/15/2020,29196.04
1/8/2020,28939.67
1/1/2020,28583.68
