Month,Index points
Jan 3,3.7
Jan 2,3.7
Jan 1,3.8
Dec 31,3.2
Dec 30,2.3
Dec 29,2.0
Dec 28,2.0
Dec 27,2.9
Dec 26,2.4
Dec 25,2.0
Dec 24,2.0
Dec 23,2.1
Dec 22,2.0
Dec 21,1.9
Dec 20,3.1
Dec 19,2.5
Dec 18,1.9
Dec 17,2.0
Dec 16,2.1
Dec 15,2.0
Dec 14,2.0
Dec 13,3.1
Dec 12,2.5
Dec 11,2.0
Dec 10,2.1
Dec 9,2.1
Dec 8,2.1
Dec 7,2.1
Dec 6,3.2
Dec 5,2.6
Dec 4,2.2
Dec 3,2.2
Dec 2,2.2
Dec 1,2.2
Nov 30,2.3
Nov 29,3.3
Nov 28,2.7
Nov 27,2.2
Nov 26,2.3
Nov 25,2.3
Nov 24,2.3
Nov 23,2.3
Nov 22,3.3
Nov 21,2.9
Nov 20,2.4
Nov 19,2.4
Nov 18,2.4
Nov 17,2.4
Nov 16,2.4
Nov 15,3.3
Nov 14,2.9
Nov 13,2.5
Nov 12,2.6
Nov 11,2.6
Nov 10,2.7
Nov 9,2.4
Nov 8,3.3
Nov 7,2.9
Nov 6,2.6
Nov 5,2.5
Nov 4,2.5
Nov 3,2.5
Nov 2,2.5
Nov 1,3.4
Oct 31,2.9
Oct 30,2.5
Oct 29,2.5
Oct 28,2.5
Oct 27,2.5
Oct 26,2.5
Oct 25,3.4
Oct 24,2.9
Oct 23,2.4
Oct 22,2.5
Oct 21,2.4
Oct 20,2.4
Oct 19,2.4
Oct 18,3.3
Oct 17,2.8
Oct 16,2.3
Oct 15,2.3
Oct 14,2.2
Oct 13,2.1
Oct 12,2.1
Oct 11,3.2
Oct 10,2.6
Oct 9,2.1
Oct 8,2.1
Oct 7,2.1
Oct 6,2.2
Oct 5,2.1
Oct 4,3.3
Oct 3,2.6
Oct 2,2.1
Oct 1,2.0
Sept 30,1.9
Sept 29,1.8
Sept 28,1.8
Sept 27,2.9
Sept 26,2.3
Sept 25,1.7
Sept 24,1.7
Sept 23,1.6
Sept 22,1.5
Sept 21,2.5
Sept 20,2.9
Sept 19,2.3
Sept 18,1.7
Sept 17,1.7
Sept 16,1.7
Sept 15,1.6
Sept 14,1.8
Sept 13,2.8
Sept 12,2.3
Sept 11,1.8
Sept 10,1.9
Sept 9,1.8
Sept 8,1.8
Sept 7,1.8
Sept 6,3.0
Sept 5,2.4
Sept 4,1.8
Sept 3,1.9
Sept 2,1.8
Sept 1,1.8
Aug 31,1.8
Aug 30,3.0
Aug 29,2.4
Aug 28,1.9
Aug 27,1.9
Aug 26,1.9
Aug 25,1.9
Aug 24,1.8
Aug 23,3.1
Aug 22,2.5
Aug 21,2.0
Aug 20,2.0
Aug 19,1.9
Aug 18,1.9
Aug 17,1.9
Aug 15,2.3
Ag 13,2.0
Aug 11,2.0
Aug 9,3.0
Aug 7,2.0
Aug 5,2.0
Aug 3,2.0
Aug 1,2.5
Jul 31,2.1
Jul 30,2.1
Jul 29,2.1
Jul 28,2.0
Jul 27,2.0
Jul 26,3.2
Jul 25,2.6
Jul 24,2.0
Jul 23,2.1
Jul 22,2.1
Jul 21,2.1
Jul 20,2.1
Jul 19,3.5
Jul 18,2.6
Jul 17,2.1
Jul 16,2.1
Jul 15,2.2
Jul 14,2.0
Jul 13,2.1
Jul 12,3.2
Jul 11,2.6
Jul 10,2.1
Jul 9,2.1
Jul 8,2.0
Jul 7,2.0
Jul 6,1.9
Jul 5,3.0
Jul 4,2.4
Jul 3,2.0
Jul 2,2.0
Jul 1,2.0
Jun 30,1.9
Jun 29,1.9
Jun 28,3.1
Jun 27,2.5
Jun 26,2.0
Jun 25,2.1
Jun 24,2.1
Jun 23,2.0
Jun 22,2.0
Jun 21,3.0
Jun 20,2.5
Jun 19,2.1
Jun 18,2.0
Jun 17,2.1
Jun 16,2.0
Jun 15,2.0
Jun 14,3.2
Jun 13,2.5
Jun 12,2.1
Jun 11,2.1
Jun 10,2.1
Jun 9,2.1
Jun 8,2.1
Jun 7,3.2
Jun 6,2.6
Jun 5,2.1
Jun 4,2.1
Jun 3,2.1
Jun 2,2.0
Jun 1,2.0
May 31,3.1
May 30,2.6
May 29,2.5
May 28,2.5
May 27,2.0
May 26,1.9
May 25,2.1
May 24,3.1
May 23,2.2
May 22,2.1
May 21,2.1
May 20,2.0
May 19,2.0
May 18,2.0
May 17,3.2
May 16,2.6
May 15,2.2
May 14,2.3
May 13,2.3
May 12,2.3
May 11,2.2
May 10,3.6
May 9,3.0
May 8,2.4
May 7,2.5
May 6,2.6
May 5,2.5
May 4,2.4
May 3,3.5
May 2,3.2
May 1,3.2
Apr 30,2.8
Apr 29,2.9
Apr 28,2.9
Apr 27,2.8
Apr 26,3.8
Apr 25,3.6
Apr 24,3.7
Apr 23,3.2
Apr 22,3.2
Apr 21,3.2
Apr 20,3.0
Apr 19,3.9
Apr 18,3.4
Apr 17,3.1
Apr 16,3.3
Apr 15,3.2
Apr 14,3.3
Apr 13,3.3
Apr 12,4.1
Apr 11,3.8
Apr 10,3.6
Apr 9,3.6
Apr 8,3.6
Apr 7,3.7
Apr 6,3.8
Apr 5,4.2
Apr 4,4.2
Apr 3,3.8
Apr 2,3.8
Apr 1,3.7
Mar 31,3.7
Mar 30,3.7
Mar 29,4.4
Mar 28,4.0
Mar 27,3.8
Mar 26,3.7
Mar 25,3.7
Mar 24,2.8
Mar 23,2.7
Mar 22,3.7
Mar 21,3.2
Mar 20,2.8
Mar 19,2.9
Mar 18,2.9
Mar 17,2.7
Mar 16,2.2
Mar 15,3.1
Mar 14,2.6
Mar 13,1.7
Mar 12,1.1
Mar 11,1.1
Mar 10,1.1
Mar 9,1.1
