CEO,Market cap in billion U.S. dollars
Larry Page (Google),199.05
Andrew Mason (Groupon),12.41
Kevin Plank (Under Armour),4.27
Andrew Silvernail (IDEX Corporation),3.54
Elon Musk (Tesla Motors),3.28
Mitchell Krebs (Coeur d'Alene Mines Corporation),2.42
Robert Pera (Ubiquiti Networks),2.27
Aaron Jagdfeld (Generac Holdings Inc.),2.0
"Edward Rosenfeld (Steven Madden, Ltd.)",1.72
J. Mariner Kemper (UMB Financial Corporation),1.64
Barry Zyskind (AmTrust Financial Services),1.59
Jose Ramon Mas (MasTec),1.52
Michael Reger (Northern Oil & Gas),1.49
"Justin Hutchens (National Health Investors, Inc.)",1.38
"Gregory Frost (Halozyme Therapeutics, Inc.)",1.17
"Marcus Ryu (Guidewire Software, Inc.)",1.13
John De Meritt (Francesca's Holdings Corp.),1.02
Spencer Rascoff (Zillow),0.92
Leonard Tannenbaum (Fifth Street Finance Corp.),0.85
"Sardar Biglari (Biglari Holdings, Inc.)",0.59
