State,"Confirmed cases per 100,000 persons"
Maine,83.0
New Hampshire,68.3
Rhode Island,62.5
Pennsylvania,61.8
Vermont,55.6
Delaware,52.2
Connecticut,35.5
New Jersey,32.3
West Virginia,30.7
Wisconsin,19.3
Minnesota,16.9
Maryland,14.8
New York,12.5
Virginia,8.7
District of Columbia,8.1
Iowa,2.9
Ohio,2.1
North Dakota,1.8
Michigan,1.8
Illinois,1.5
Alaska,1.1
Indiana,1.1
Montana,0.5
North Carolina,0.5
Florida,0.5
South Dakota,0.5
Nebraska,0.4
Alabama,0.4
Idaho,0.3
Utah,0.3
Kansas,0.3
California,0.2
Massachusetts,0.2
Nevada,0.2
South Carolina,0.2
Tennessee,0.2
Oregon,0.2
Kentucky,0.1
Arizona,0.1
Washington,0.1
Texas,0.1
Colorado,0.1
Georgia,0.0
Oklahoma,0.0
Louisiana,0.0
Hawaii,0.0
New Mexico,0.0
Arkansas,0.0
Mississippi,0.0
Wyoming,0.0
Missouri,0.0
