Reinsurer,Amount in billion U.S. dollars
National Indemnity Company,25.78
Everest Reinsurance Company,7.21
Swiss Reinsurance America Corporation,7.06
XL Reinsurance America,6.53
"Munich Re America, Corp.",5.53
Transatlantic Reinsurance Company,4.51
Odyssey Group,3.52
General Re Group,3.28
SCOR U.S. Corporation,2.28
Partner Reinsurance Company of the U.S.,2.2
Endurance Assurance Corporation,1.31
AXIS Reinsurance Company,1.13
Renaissance Reinsurance US Inc.,1.12
American Agricultural Ins. Co.,1.08
The Toa Reinsurance Company of America,0.51
Sirius America Insurance Company,0.39
EMC Reinsurance Company,0.18
