title,Number of views in millions
"Thalía, Natti Natasha - No Me Acuerdo (Video Oficial)",1147.13
Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),1001.33
HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),987.46
Christian Nodal - Adiós Amor (Video Oficial),961.01
Los Ángeles Azules - Mis Sentimientos ft. Ximena Sariñana (Live),956.3
"Reik - Me Niego ft. Ozuna, Wisin",920.79
Thalía - Desde Esa Noche (Premio Lo Nuestro 2016) ft. Maluma,828.98
#Jesse&Joy - ¡Corre!,804.41
"HA-ASH - Perdón, Perdón (Primera Fila - Hecho Realidad [En Vivo])",785.18
BANDA MS - EL COLOR DE TUS OJOS (VIDEO OFICIAL),731.23
