Month,Number of viewers in thousands
November 2020,84.53
October 2020,78.67
September 2020,74.37
August 2020,64.76
July 2020,56.42
June 2020,105.54
May 2020,103.44
April 2020,120.64
March 2020,89.99
February 2020,71.63
January 2020,45.52
December 2019,54.37
November 2019,49.5
October 2019,60.35
September 2019,63.8
August 2019,62.02
July 2019,54.73
June 2019,41.94
May 2019,39.94
April 2019,42.75
March 2019,47.71
February 2019,70.48
January 2019,41.33
December 2018,34.33
November 2018,37.68
October 2018,32.47
September 2018,98.26
August 2018,29.13
July 2018,36.02
June 2018,30.44
May 2018,35.52
April 2018,31.92
March 2018,37.77
February 2018,55.53
January 2018,93.47
