Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,36.19
Government and government enterprises,32.35
"Finance, insurance, real estate, rental, and leasing",30.03
Professional and business services,21.21
"Educational services, health care, and social assistance",16.93
Retail trade,14.56
Wholesale trade,11.63
Construction,6.42
"Arts, entertainment, recreation, accommodation, and food services",5.63
Transportation and warehousing,5.44
Utilities,5.35
Information,5.3
"Mining, quarrying, and oil and gas extraction",2.84
"Agriculture, forestry, fishing, and hunting",2.62
