State,Number of prisoners
Texas,158429
California,122687
Florida,96009
Georgia,54816
Ohio,50338
Pennsylvania,45702
New York,43500
Arizona,42441
Illinois,38259
Michigan,38053
Virginia,36091
North Carolina,34079
Louisiana,31609
Alabama,28304
Indiana,27180
Tennessee,26349
Missouri,26044
Oklahoma,25679
Wisconsin,23956
Kentucky,23082
Colorado,19785
Mississippi,19417
Washington,19261
New Jersey,18613
South Carolina,18608
Maryland,18595
Arkansas,17759
Oregon,14961
Nevada,12840
Connecticut*,12823
Kansas,10177
Minnesota,9982
Idaho,9437
Iowa,9282
Massachusetts,8205
West Virginia,6800
New Mexico,6723
Utah,6665
Delaware*,5692
Nebraska,5682
Hawaii*,5279
Montana,4723
Alaska*,4475
South Dakota,3801
Rhode Island*,2740
New Hampshire,2691
Wyoming,2479
Maine,2185
North Dakota,1794
Vermont*,1608
