association football club,Number of followers in thousands
LA Galaxy,1227.68
New York City FC,628.16
Atlanta United,429.11
Seattle Sounders,298.98
Orlando City,305.72
New York Red Bulls,166.16
LAFC,385.17
Toronto FC,211.9
Sporting Kansas City,146.91
Houston Dynamo,127.96
Portland Timbers,141.34
Montreal Impact,105.68
Vancouver Whitecaps,128.71
FC Dallas,93.37
Chicago Fire,111.73
DC United,141.35
San Jose Earthquakes,81.38
Columbus Crew,94.9
Philadelphia Union,87.05
Real Salt Lake,258.72
New England Revolution,81.11
Minnesota United,74.96
Colorado Rapids,56.65
FC Cincinnati,93.27
