Month,Percentage change in sales value
Aug 20,8.1%
Jul 20,9.5%
Jun 20,10.2%
May 20,11%
Apr 20,8.9%
Mar 20,7.4%
Feb 20,2.8%
Jan 20,2.4%
Dec 19,2.9%
Nov 19,3.9%
Oct 19,4.1%
Sep 19,3.8%
Aug 19,3.9%
Jul 19,4%
Jun 19,6.3%
May 19,5.9%
Apr 19,6.5%
Mar 19,5.1%
Feb 19,5.4%
Jan 19,5.3%
Dec 18,4.9%
Nov 18,5.4%
Oct 18,5.8%
Sep 18,6.8%
Aug 18,6.6%
Jul 18,6.1%
Jun 18,3.1%
May 18,3.4%
Apr 18,2.8%
Mar 18,4.4%
Feb 18,3.8%
Jan 18,3.8%
Dec 17,3.7%
Nov 17,2.5%
Oct 17,2.1%
Sep 17,2.1%
Aug 17,2.3%
Jul 17,2.8%
Jun 17,4.1%
May 17,3.8%
Apr 17,3.5%
Mar 17,1.4%
Feb 17,2.6%
Jan 17,2.8%
Dec 16,3.9%
Nov 16,3%
Oct 16,3.6%
Sep 16,3.1%
Aug 16,2.7%
Jul 16,1.5%
Jun 16,1.4%
May 16,1.1%
Apr 16,1%
Mar 16,0.4%
Feb 16,0.8%
Jan 16,0.6%
Dec 15,0.2%
Nov 15,0.4%
Oct 15,0.1%
Sep 15,0.1%
Aug 15,-0.4%
Jul 15,0.3%
Jun 15,-1.1%
May 15,0.1%
Apr 15,-1.1%
Mar 15,0%
Feb 15,-2.7%
Jan 15,-2.5%
