Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",33.56
Professional and business services,20.62
Manufacturing,19.77
Government and government enterprises,19.6
Retail trade,12.55
"Educational services, health care, and social assistance",12.25
Information,10.57
Construction,8.97
Wholesale trade,8.39
Transportation and warehousing,5.7
"Arts, entertainment, recreation, accommodation, and food services",5.53
"Mining, quarrying, and oil and gas extraction",3.47
Utilities,2.18
"Agriculture, forestry, fishing, and hunting",1.51
