Telecommunication company,Number of employees
Telia Company AB,23614
Eltel AB,7563
Tele2 AB,6905
Eltel Networks Infranet AB,2033
Telenor Sverige AB,1612
Transtema Group AB,589
Teracom AB,482
Svenska Rymd AB,478
Sinch AB (publ),385
TelaVox AB,235
A3 Allmänna IT - och Telekom AB,199
Verizon Sweden AB,114
Telenor Connexion AB,109
Rebtel Owners AB,91
Iver Sverige AB,90
Geomatikk Sverige Support AB,89
Invisio Communications AB,80
Nordic Entertainment Group Technology AB,73
Seamless Distribution Systems AB,57
Sonetel AB (publ),52
