Player,Number of matches played
M Raj (IND),209
CM Edwards (ENG),191
J Goswami (IND),182
AJ Blackwell (AUS),144
JL Gunn (ENG),144
KL Rolton (AUS),141
SJ McGlashan (NZ),134
M du Preez (SA),130
A Chopra (IND),127
LS Greenway (ENG),126
SC Taylor (ENG),126
SJ Taylor (ENG),126
SR Taylor (WI),126
NJ Browne (NZ),125
LC Sthalekar (AUS),125
SW Bates (NZ),124
KH Brunt (ENG),123
A Mohammed (WI),122
Sana Mir (PAK),120
AE Satterthwaite (NZ),119
BJ Clark (AUS),118
DA Hockley (NZ),118
HASD Siriwardene (SL),118
