Year,Number of cooling degree-days
2019,1500
2018,1585
2017,1428
2016,1559
2015,1488
2014,1299
2013,1306
2012,1495
2011,1470
2010,1456
2009,1241
2008,1282
2007,1392
2006,1360
2005,1388
2004,1217
2003,1268
2002,1363
2001,1255
2000,1232
1999,1282
1998,1390
1997,1132
1996,1162
1995,1261
1994,1185
1993,1168
1992,1001
1991,1281
1990,1200
1989,1102
1988,1231
1987,1208
1986,1181
1985,1121
1984,1139
1983,1178
1982,1046
1981,1107
1980,1214
1979,1003
1978,1112
1977,1169
1976,920
1975,1049
1974,981
1973,1106
1972,989
1971,1036
1970,1079
1969,1020
1968,977
1967,902
1966,982
1965,979
1964,1009
1963,1014
1962,994
1961,980
1960,1000
1959,1142
1958,963
1957,1016
1956,999
1955,1144
1954,1085
1953,1105
1952,1109
1951,974
1950,871
