Year,Gross domestic product in billion international dollars
2021*,128.16
2020*,123.85
2019*,130.93
2018,126.16
2017,129.51
2016,130.59
2015,130.9
2014,130.93
2013,130.1
2012,128.25
2011,125.8
2010,123.67
2009,122.75
2008,124.25
2007,124.17
2006,122.34
2005,120.44
2004,119.17
2003,113.79
2002,109.16
2001,105.18
2000,94.02
1999,89.05
1998,84.07
1997,78.05
1996,73.15
1995,70.21
1994,65.78
1993,61.82
1992,57.71
1991,53.96
1990,51.02
1989,47.39
1988,43.45
1987,39.41
1986,36.65
1985,33.22
1984,31.55
