State,Average size of family
Hawaii,3.57
Utah,3.56
California,3.53
Texas,3.46
Alaska,3.43
District of Columbia,3.38
Georgia,3.32
Nevada,3.31
Florida,3.29
Mississippi,3.29
Maryland,3.28
New Mexico,3.28
Arizona,3.27
Louisiana,3.27
Illinois,3.23
United States,3.23
New Jersey,3.23
Idaho,3.21
New York,3.2
Rhode Island,3.19
Virginia,3.18
Oklahoma,3.18
Alabama,3.15
Indiana,3.15
South Carolina,3.14
Arkansas,3.13
Connecticut,3.12
North Carolina,3.11
Delaware,3.11
Massachusetts,3.11
Colorado,3.1
Tennessee,3.1
Minnesota,3.09
Washington,3.09
Michigan,3.09
Kansas,3.09
Oregon,3.07
Kentucky,3.06
Missouri,3.04
Ohio,3.03
Nebraska,3.03
Pennsylvania,3.02
South Dakota,3.01
Wisconsin,2.99
New Hampshire,2.98
Montana,2.98
Iowa,2.96
North Dakota,2.95
Wyoming,2.95
West Virginia,2.93
Vermont,2.86
Maine,2.84
