Year,GDP per capita in U.S. dollars
2025*,4458.0
2024*,4312.2
2023*,4184.62
2022*,4101.99
2021*,3697.21
2020*,3414.81
2019*,4113.89
2018*,4267.11
2017,4072.02
2016,3536.6
2015,3779.6
2014,4133.03
2013,4291.2
2012,4568.75
2011,4603.2
2010,4263.91
2009,3479.71
2008,3214.49
2007,3402.16
2006,3262.22
2005,3174.59
2004,2797.02
2003,2235.68
2002,1473.72
2001,1599.21
2000,1818.67
1999,1861.5
1998,1914.24
1997,2105.17
1996,2012.45
1995,2171.72
1994,1859.52
1993,1750.16
1992,1699.81
1991,1567.76
1990,1552.21
1989,1306.67
1988,1332.88
1987,1172.28
1986,936.25
1985,762.13
