Country,"Number of DDD per 1,000 inhabitants"
Mongolia,64.41
Iran,38.78
Turkey,38.18
Sudan,35.29
Greece,33.85
Serbia,31.57
Montenegro,29.33
Romania,28.5
Republic of Korea,27.68
United Republic of Tanzania,27.29
Cyprus,27.14
Italy,26.62
France,25.92
Belgium,25.57
Georgia,24.44
Slovakia,24.34
Poland,24.3
Ireland,23.27
Brazil,22.75
New Zealand,22.68
Luxembourg,22.31
Tajikistan,21.95
Malta,21.88
United Kingdom,20.47
Croatia,20.28
Bulgaria,20.25
Kosovo,20.18
Bolivia,19.57
Paraguay,19.38
Finland,18.52
Spain,17.96
Kyrgyzstan,17.94
Kazakhstan,17.89
Iceland,17.87
Bosnia and Herzegovina,17.85
Denmark,17.84
Portugal,17.72
Belarus,17.48
Czech Republic,17.18
Canada,17.05
Norway,16.97
Albania,16.41
Hungary,16.31
Lithuania,15.83
Russian Federation,14.82
Japan,14.19
Costa Rica,14.15
Burkina Faso,13.78
Sweden,13.73
Slovenia,13.48
Republic of Moldova,13.42
Latvia,13.3
Austria,12.17
Estona,12.13
Germany,11.49
Cote d'Ivoire,10.68
Armenia,10.31
Peru,10.26
Netherlands,9.78
Jordan,8.92
Uzbekistan,8.56
Phillipines,8.21
Azerbaijan,7.66
Brunei Darussalam,5.92
Burundi,4.44
