Year,Gross domestic product in billion international dollars
2021*,816.48
2020*,771.96
2019,785.84
2018,747.54
2017,711.85
2016,689.32
2015,668.31
2014,642.43
2013,603.6
2012,564.23
2011,532.76
2010,487.96
2009,461.59
2008,452.94
2007,430.17
2006,392.47
2005,356.97
2004,330.62
2003,305.65
2002,288.77
2001,277.33
2000,266.9
1999,253.64
1998,261.0
1997,256.64
1996,243.92
1995,234.71
1994,218.52
1993,203.48
1992,188.03
1991,176.17
1990,166.46
1989,153.87
1988,143.17
1987,132.9
1986,123.08
1985,114.01
1984,107.18
