Month,Number of viewers in thousands
November 2020,16.79
October 2020,17.01
September 2020,18.03
August 2020,17.24
July 2020,23.34
June 2020,21.33
May 2020,19.94
April 2020,19.04
March 2020,20.96
February 2020,22.02
January 2020,19.48
December 2019,18.92
November 2019,22.31
October 2019,14.66
September 2019,30.37
August 2019,47.15
July 2019,39.32
June 2019,42.7
May 2019,33.21
April 2019,39.71
March 2019,35.71
February 2019,35.18
January 2019,30.27
December 2018,22.71
November 2018,31.01
October 2018,21.76
September 2018,28.59
August 2018,31.05
July 2018,34.24
June 2018,32.12
May 2018,42.46
April 2018,44.51
March 2018,43.08
February 2018,39.82
January 2018,43.83
