Year,Gross domestic product in billion international dollars
2021*,1399.18
2020*,1293.92
2019*,1377.54
2018,1322.56
2017,1239.65
2016,1169.19
2015,1118.84
2014,1073.67
2013,1043.88
2012,999.03
2011,914.03
2010,887.87
2009,816.31
2008,815.77
2007,786.63
2006,726.56
2005,671.84
2004,625.36
2003,572.93
2002,524.76
2001,486.66
2000,460.36
1999,431.09
1998,406.37
1997,435.06
1996,439.8
1995,408.78
1994,370.32
1993,335.73
1992,301.78
1991,270.12
1990,241.03
1989,208.14
1988,178.52
1987,152.21
1986,135.63
1985,125.98
1984,116.7
