Year,Number of tests in thousands
01/03/21,91852.0
01/01/21,91509.13
12/31/20,91123.13
12/30/20,90648.89
12/29/20,90203.87
12/28/20,89808.87
12/27/20,89516.18
12/26/20,89099.6
12/25/20,88605.53
12/24/20,88094.38
12/23/20,87578.21
12/22/20,87098.06
12/21/20,86704.61
12/20/20,86391.68
12/19/20,85954.53
12/18/20,85431.43
12/17/20,84904.11
12/16/20,84364.81
12/15/20,83867.19
12/14/20,83439.51
12/13/20,83102.95
12/12/20,82639.39
12/11/20,82104.04
12/10/20,81564.37
12/09/20,81021.36
12/08/20,80522.24
12/07/20,80095.22
12/06/20,79771.77
12/05/20,79323.1
12/04/20,78777.84
12/03/20,78227.42
12/02/20,77693.65
12/01/20,77299.07
11/30/20,76755.9
11/29/20,76422.85
11/28/20,75948.01
11/27/20,75402.62
11/26/20,74814.91
11/25/20,74270.93
11/24/20,73765.15
11/23/20,73312.31
11/22/20,72949.6
11/21/20,72429.06
11/20/20,71838.29
11/19/20,71250.0
11/18/20,70653.23
11/17/20,70075.89
11/16/20,69550.66
11/15/20,69111.9
11/14/20,68577.0
11/13/20,67949.15
11/12/20,67347.35
11/11/20,66710.46
11/10/20,66118.7
11/09/20,65606.58
11/08/20,65209.36
11/07/20,64682.51
11/06/20,64092.16
11/05/20,63541.3
11/04/20,63016.99
11/03/20,62446.01
11/02/20,61954.57
11/01/20,61541.97
10/31/20,61029.75
10/30/20,60441.81
10/29/20,59866.56
10/28/20,59284.12
10/27/20,58730.81
10/26/20,58223.85
10/25/20,57821.26
10/24/20,57344.95
10/23/20,56794.64
10/22/20,56230.54
10/21/20,55683.93
10/20/20,55171.78
10/19/20,54675.1
10/18/20,54300.21
10/17/20,53850.51
10/16/20,53305.96
10/15/20,52782.1
10/14/20,52279.73
10/13/20,51801.25
10/12/20,51364.27
10/11/20,51191.31
10/10/20,50781.35
10/09/20,50305.24
10/08/20,49656.87
10/07/20,49148.95
10/06/20,48709.86
10/05/20,48337.99
10/04/20,48042.34
10/03/20,47683.83
10/02/20,47247.27
10/01/20,46823.88
09/30/20,46421.83
09/29/20,46037.66
09/28/20,45698.67
09/27/20,45442.77
09/26/20,45134.44
09/25/20,44755.36
09/24/20,44364.57
09/23/20,43990.41
09/22/20,43632.54
09/21/20,43341.53
09/20/20,43103.91
09/19/20,42821.89
09/18/20,42457.17
09/17/20,42095.25
09/16/20,41748.93
09/15/20,41424.01
09/14/20,41122.31
09/13/20,40903.55
09/12/20,40624.08
09/11/20,40268.9
09/10/20,39912.53
09/09/20,39575.31
09/08/20,39239.18
09/07/20,38960.76
09/06/20,38758.18
09/05/20,38488.13
09/04/20,38154.56
09/03/20,37818.37
09/02/20,37484.15
09/01/20,37176.83
08/31/20,36901.22
08/30/20,36696.38
08/29/20,36426.85
08/28/20,36086.18
08/27/20,35751.75
08/26/20,35423.78
08/25/20,35128.66
08/24/20,34883.22
08/23/20,34695.41
08/22/20,34447.56
08/20/20,33814.11
08/19/20,33509.27
08/18/20,33217.47
08/17/20,32968.76
08/16/20,32784.48
08/15/20,32533.82
08/14/20,32221.55
08/13/20,31903.06
08/12/20,31598.3
08/11/20,31307.76
08/10/20,31063.19
08/09/20,30886.16
08/08/20,30640.02
08/07/20,30341.34
08/06/20,30038.12
08/05/20,29716.91
08/04/20,29433.89
08/03/20,29201.86
08/02/20,29029.9
08/01/20,28793.26
07/31/20,28478.01
07/30/20,28161.5
07/29/20,27857.9
07/28/20,27569.6
07/27/20,27327.6
07/26/20,27142.0
07/25/20,26902.3
07/24/20,26610.6
07/23/20,26300.7
07/22/20,26000.9
07/21/20,25704.4
07/20/20,25449.2
07/19/20,25251.6
07/18/20,24991.7
07/17/20,24676.9
07/16/20,24364.6
07/15/20,24053.5
07/14/20,23754.6
07/13/20,23495.8
07/12/20,23292.6
07/11/20,23031.1
07/10/20,22708.4
07/09/20,22388.2
07/08/20,22079.3
07/07/20,21790.7
07/06/20,21537.8
07/05/20,21335.4
07/04/20,21069.5
07/03/20,20752.4
07/02/20,20451.1
07/01/20,20168.9
06/30/20,19852.2
06/29/20,19562.4
06/28/20,19334.4
06/27/20,19045.9
06/26/20,18707.9
06/25/20,18402.7
06/24/20,18115.8
06/23/20,17804.0
06/22/20,17522.8
06/21/20,17289.7
06/20/20,16998.5
06/19/20,16661.3
06/18/20,16322.0
06/17/20,15991.7
06/16/20,15679.7
06/15/20,15395.4
06/14/20,15161.2
06/13/20,14880.2
06/12/20,14574.1
06/11/20,14218.7
06/10/20,13875.1
06/09/20,13545.3
06/08/20,13254.7
06/07/20,13016.0
06/06/20,12721.5
06/05/20,12389.0
06/04/20,12053.8
06/03/20,11733.1
06/02/20,11426.0
06/01/20,11151.6
05/31/20,10923.1
05/30/20,10643.1
05/29/20,10316.2
05/28/20,10000.1
05/27/20,9701.3
05/26/20,9416.0
05/25/20,9160.6
05/24/20,8945.4
05/23/20,8685.3
05/22/20,8402.7
05/21/20,8126.6
05/20/20,7840.9
05/19/20,7578.0
05/18/20,7352.3
05/17/20,7147.0
05/16/20,6916.1
05/15/20,6656.3
05/14/20,6413.9
05/13/20,6188.1
05/12/20,5982.6
05/11/20,5805.4
05/10/20,5636.8
05/09/20,5448.5
05/08/20,5222.0
05/07/20,4987.5
05/06/20,4803.2
05/05/20,4633.7
05/04/20,4460.4
05/03/20,4303.2
05/02/20,4120.0
05/01/20,3945.5
04/30/20,3723.8
04/29/20,3498.3
04/28/20,3303.7
04/27/20,3139.3
04/26/20,3019.4
04/25/20,2877.7
04/24/20,2721.5
04/23/20,2552.0
04/22/20,2401.6
04/21/20,2252.5
04/20/20,2142.6
04/19/20,2053.3
04/18/20,1949.8
04/17/20,1831.9
04/16/20,1718.0
04/15/20,1613.4
04/14/20,1518.0
04/13/20,1426.0
04/12/20,1360.0
04/11/20,1278.7
04/10/20,1184.4
04/09/20,1092.8
04/08/20,1004.7
04/07/20,910.2
04/06/20,795.5
04/05/20,758.4
04/04/20,697.0
04/03/20,639.6
04/02/20,575.1
03/31/20,536.7
03/30/20**,536.7
03/29/20,343.5
03/28/20,263.9
03/27/20,243.4
03/26/20,223.5
03/25/20,192.8
03/24/20,185.9
03/23/20,185.9
03/22/20,165.8
03/21/20,163.5
03/20/20,156.0
03/19/20,143.5
03/18/20,133.1
03/17/20,122.9
03/16/20,116.1
03/15/20,109.9
03/14/20,104.9
03/13/20,94.8
03/11/20,77.0
03/10/20,70.6
03/09/20,66.2
03/08/20,63.2
03/07/20,60.0
03/06/20,55.7
03/05/20,51.4
03/04/20,46.6
03/03/20,42.8
02/28/20,32.9
02/27/20,33.1
02/26/20,33.1
02/25/20,31.0
02/24/20,27.1
02/23/20,27.4
02/22/20,25.1
02/21/20,22.6
02/19/20,26.9
02/18/20*,24.7
