Year,Gross domestic product in billion international dollars
2021*,358.19
2020*,334.68
2019,354.88
2018,336.99
2017,318.03
2016,301.38
2015,286.87
2014,277.5
2013,262.54
2012,247.45
2011,237.17
2010,221.51
2009,207.39
2008,203.73
2007,193.4
2006,177.57
2005,162.94
2004,151.73
2003,140.86
2002,136.78
2001,134.89
2000,131.78
1999,118.43
1998,112.66
1997,106.89
1996,100.98
1995,94.43
1994,84.35
1993,77.17
1992,72.65
1991,66.29
1990,61.29
1989,55.4
1988,52.57
1987,49.03
1986,44.51
1985,42.14
1984,39.1
