business,Effective tax rate
ConocoPhillips,65.8%
Chevron,41.9%
Exxon Mobil,41.1%
CVS Health,38.9%
UnitedHealth Group,37%
Home Depot,36.2%
Walt Disney,34.6%
Comcast,34.3%
Phillips 66*,32.6%
Wal-Mart Stores,32.3%
Goldman Sachs,31.4%
Wells Fargo,31.2%
American Express,30.4%
Berkshire Hathaway,29.8%
Hewlett-Packard,28.5%
Boeing,27.7%
United Technologies,27.4%
JPMorgan Chase,27.3%
American International Group (AIG),26.9%
Dow Chemical,26.6%
Intel,26.6%
Honeywell International,26.2%
US Bancorp,25.9%
Apple,25.9%
PepsiCo,25.2%
Capital One Financial,25%
MetLife,24.5%
Oracle,24%
AT&T,23.9%
IBM,23.3%
Procter & Gamble,23.3%
Caterpillar,22.6%
Coca-Cola,22.3%
Merck,22.3%
Microsoft,22.3%
Johnson & Johnson,20.5%
Alphabet (Google),20.2%
Pfizer,19%
Qualcomm,18.2%
Cisco Systems,17.8%
Prudential Financial,17.4%
"Twenty-First Century Fox, Inc.",16.1%
Verizon Communications,15.8%
Amgen,11.2%
Bank of America,10%
Morgan Stanley,7.9%
General Electric,6.7%
Ford Motor,-34.6%
General Motors,-45.5%
Citigroup,-91.7%
