Month,Sales in million Canadian dollars
Sep '20,2909.39
Aug '20,2909.39
Jul '20,2886.23
Jun '20,3412.88
May '20,3913.56
Apr '20,3628.8
Mar '20,2200.43
Feb '20,1591.63
Jan '20,1666.87
Dec '19,2762.11
Nov '19,2437.53
Oct '19,1843.58
Sep '19,1875.34
Aug '19,1811.66
Jul '19,1781.0
Jun '19,1911.25
May '19,1835.28
Apr '19,1557.41
Mar '19,1553.2
Feb '19,1328.48
Jan '19,1512.63
Dec '18,2004.06
Nov '18,2276.39
Oct '18,1613.7
Sep '18,1414.5
Aug '18,1442.92
Jul '18,1325.69
Jun '18,1461.31
May '18,1459.62
Apr '18,1355.79
Mar '18,1304.5
Feb '18,1100.77
Jan '18,1287.47
Dec '17,1920.65
Nov '17,1874.01
Oct '17,1323.36
Sept '17,1235.56
Aug '17,1234.76
Jul '17,1215.86
Jun '17,1227.35
May '17,1238.8
Apr '17,1218.38
Mar '17,1141.64
Feb '17,953.18
Jan '17,1110.05
Dec '16,1757.31
Nov '16,1427.87
Oct '16,1067.24
Sept '16,1016.2
Aug '16,916.18
Jul '16,874.36
Jun '16,896.83
May '16,916.24
Apr '16,916.71
Mar '16,865.68
Feb '16,789.55
Jan '16,877.35
