Month,Daily percentage change of confirmed cases
Jan 07 '21,0.9%
Jan 06 '21,1.06%
Jan 05 '21,0.58%
Jan 04 '21,0.34%
Jan 03 '21,0.44%
Jan 02 '21,0.53%
Jan 01 '21,0.85%
Dec 31,1.05%
Dec 30,1.02%
Dec 29,0.63%
Dec 28,0.26%
Dec 27,0.29%
Dec 26,0.4%
Dec 25,0.73%
Dec 24,1.07%
Dec 23,1.02%
Dec 22,0.6%
Dec 21,0.39%
Dec 20,0.72%
Dec 19,0.95%
Dec 18,0.94%
Dec 17,1.03%
Dec 16,1.09%
Dec 15,0.61%
Dec 14,0.43%
Dec 13,0.8%
Dec 12,1.03%
Dec 11,1.19%
Dec 10,1.26%
Dec 09,1.13%
Dec 08,0.78%
Dec 07,0.42%
Dec 06,0.87%
Dec 05,1.19%
Dec 04,1.29%
Dec 03,1.46%
Dec 02,1.39%
Dec 01,0.92%
Nov 30,0.58%
Nov 29,1.18%
Nov 28,1.58%
Nov 27,1.81%
Nov 26,1.81%
Nov 25,1.69%
Nov 24,1.16%
Nov 23,1.74%
Nov 22,2.19%
Nov 21,2.96%
Nov 20,2.8%
Nov 19,3.1%
Nov 18,2.6%
Nov 17,2.6%
Nov 16,2.9%
Nov 15,3.2%
Nov 14,3.8%
Nov 13,3.7%
Nov 12,3.7%
Nov 11,4.2%
Nov 10,4.5%
Nov 9,4%
Nov 8,4.8%
Nov 7,5.6%
Nov 6,5.8%
Nov 5,6.2%
Nov 4,6%
Nov 3,4.9%
Nov 2,4.1%
Nov 1,4.7%
Oct 31,6.4%
Oct 30,6.8%
Oct 29,6.7%
Oct 28,6.7%
Oct 27,6.2%
Oct 26,4%
Oct 25,4.9%
Oct 24,6%
Oct 23,6.3%
Oct 22,6%
Oct 21,5.2%
Oct 20,5.1%
Oct 19,4.3%
Oct 18,5.1%
Oct 17,6.1%
Oct 16,5.1%
Oct 15,5.7%
Oct 14,4.8%
Oct 13,3.9%
Oct 12,3.5%
Oct 11,3.4%
Oct 10,4.6%
Oct 9,4.2%
Oct 8,4%
Oct 7,2.9%
Oct 6,2.2%
Oct 5,2%
Oct 4,2%
Oct 3,2.5%
Oct 2,2.5%
Oct 1,2.1%
Sep 30,1.7%
Sep 29,1.5%
Sep 28,1.5%
Sep 27,1.6%
Sep 26,1.9%
Sep 25,1.9%
Sep 24,1.4%
Sep 23,1.2%
Sep 22,0.89%
Sep 21,0.94%
Sep 20,1.2%
Sep 19,1.3%
Sep 18,0.99%
Sep 17,1.1%
Sep 16,0.8%
Sep 15,0.81%
Sep 14,0.51%
Sep 13,0.68%
Sep 12,0.83%
Sep 11,0.82%
Sep 10,0.7%
Sep 9,0.59%
Sep 8,0.56%
Sep 7,0.43%
Sep 4,1%
Sep 3,0.89%
Sep 2,0.88%
Sep 1,0.82%
Aug 31,0.75%
Aug 30,0.95%
Aug 29,1.2%
Aug 28,1.2%
Aug 27,1.4%
Aug 26,1.2%
Aug 25,1.2%
Aug 24,0.89%
Aug 23,0.95%
Aug 22,1.5%
Aug 21,1.5%
Aug 20,1.3%
Aug 19,1.3%
Aug 18,1%
Aug 17,1%
Aug 16,1.1%
Aug 15,1.4%
Aug 14,1.5%
Aug 13,1.5%
Aug 12,1.4%
Aug 11,1.1%
Aug 10,1.2%
Aug 9,1.2%
Aug 8,1.7%
Aug 7,1.6%
Aug 6,1.5%
Aug 5,1.3%
Aug 4,1.4%
Aug 3,1.2%
Aug 2,1.2%
Aug 1,1.4%
Jul 31,1.5%
Jul 30,1.4%
Jul 29,1.2%
Jul 28,1.2%
Jul 27,0.8%
Jul 26,1%
Jul 25,1.4%
Jul 24,1.1%
Jul 23,1%
Jul 22,0.9%
Jul 21,1%
Jul 20,0.7%
Jul 19,0.9%
Jul 18,0.9%
Jul 17,0.9%
Jul 16,0.9%
Jul 15,0.7%
Jul 14,0.7%
Jul 13,0.8%
Jul 12,1%
Jul 11,0.8%
Jul 10,0.7%
Jul 9,0.7%
Jul 8,0.8%
Jul 7,0.7%
Jul 6,0.6%
Jul 5,0.6%
Jul 4,0.9%
Jul 3,0.7%
Jul 2,1.1%
Jul 1,1.1%
Jun 30,0.7%
Jun 29,0.7%
Jun 28,0.6%
Jun 27,1%
Jun 26,0.8%
Jun 25,0.9%
Jun 24,0.9%
Jun 23,0.9%
Jun 22,0.9%
Jun 21,1%
Jun 20,1%
Jun 19,1.1%
Jun 18,1%
Jun 17,1.7%
Jun 16,1.4%
Jun 15,1.3%
Jun 14,1.3%
Jun 13,1.5%
Jun 12,1.3%
Jun 11,1.3%
Jun 10,1%
Jun 9,1.5%
Jun 8,2.3%
Jun 7,2.2%
Jun 6,2.3%
Jun 5,1.4%
Jun 4,1.5%
Jun 3,0.6%
Jun 2,1%
Jun 1,1.6%
May 31,0.9%
May 30,1.8%
May 29,1.5%
May 28,1.6%
May 27,1.8%
May 26,2%
May 25,1.6%
May 24,1.9%
May 23,1.5%
May 22,2.4%
May 21,2%
May 20,2.4%
May 19,2%
May 18,1.9%
May 17,1.5%
May 16,1.3%
May 15,2.3%
May 14,2.4%
May 13,1.9%
May 12,3.4%
May 11,2.1%
May 10,2.2%
May 9,1.9%
May 8,2.3%
May 7,2.2%
May 6,2.2%
May 5,2.9%
May 4,2.3%
May 3,2.4%
May 2,2.1%
May 1,1.8%
Apr 30,2.4%
Apr 29,3.5%
Apr 28,2.6%
Apr 27,2.5%
Apr 26,3.1%
Apr 25,3.5%
Apr 24,3.6%
Apr 23,3.6%
Apr 22,3.2%
Apr 21,2.7%
Apr 20,3.3%
Apr 19,6.2%
Apr 18,4.3%
Apr 17,5.8%
Apr 16,4.4%
Apr 15,5.3%
Apr 14,3.9%
Apr 13,3.9%
Apr 12,5%
Apr 11,6.7%
Apr 10,6.8%
Apr 9,7.1%
Apr 8,7.4%
Apr 7,9.9%
Apr 6,7.6%
Apr 5,13%
Apr 4,7.2%
Apr 3,15%
Apr 2,15%
Apr 1,11%
Mar 31,12%
Mar 30,10%
Mar 29,14%
Mar 28,18%
Mar 27,14%
Mar 26,16%
Mar 25,17%
Mar 24,20%
Mar 23,18%
Mar 22,18%
Mar 21,26%
Mar 20,20%
Mar 19,24%
Mar 18,21%
Mar 17,35%
Mar 16,42%
Mar 15,20%
Mar 14,53%
Mar 13,33%
Mar 12,20%
Mar 11,65%
Mar 10,41%
Mar 9,29%
Mar 8,55%
Mar 7,83%
Mar 6,20%
Mar 5,400%
Mar 4,0%
