Month,Percentage change**
Jun 20,91.6%
May 20,50.3%
Apr 20,52.6%
Mar 20,33.8%
Feb 20,-9%
Jan 20,-13.9%
Dec 19,-2.8%
Nov 19,-17.8%
Oct 19,3.2%
Sep 19,-4.8%
Aug 19,-3.5%
Jul 19,-2.2%
Jun 19,6.9%
May 19,2.4%
Apr 19,10.8%
Mar 19,2.5%
Feb 19,8.7%
Jan 19,11.9%
Dec 18,13.4%
Nov 18,16.6%
Oct 18,13.1%
Sep 18,13.3%
Aug 18,22.8%
Jul 18,33.3%
Jun 18,21.7%
May 18,35.4%
Apr 18,24.9%
Mar 18,32.8%
Feb 18,21.4%
Jan 18,17.8%
Dec 17,9.9%
Nov 17,1%
Oct 17,4.4%
Sep 17,13.6%
Aug 17,22.3%
Jul 17,9.4%
Jun 17,14.7%
May 17,2.8%
Apr 17,10.5%
Mar 17,12.4%
Feb 17,15.9%
Jan 17,17.6%
Dec 16,11.7%
Nov 16,17.5%
Oct 16,20.3%
Sep 16,20.5%
Aug 16,15.4%
Jul 16,19.8%
Jun 16,16.7%
May 16,25.9%
Apr 16,23.2%
Mar 16,20.4%
Feb 16,24.4%
Jan 16,26.3%
Dec 15,28.8%
Nov 15,26.2%
Oct 15,24.4%
Sep 15,23.4%
Aug 15,7.3%
Jul 15,13.5%
Jun 15,17.7%
May 15,13.3%
Apr 15,5.8%
Mar 15,14.5%
Feb 15,10.2%
Jan 15,11.7%
Dec 14,3.7%
Nov 14,15.9%
Oct 14,1%
Sep 14,3.5%
Aug 14,15.5%
Jul 14,13%
Jun 14,5.1%
May 14,20.8%
Apr 14,27.9%
Mar 14,19.7%
Feb 14,19.3%
Jan 14,7.9%
