Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",5.23
"Educational services, health care, and social assistance",4.18
Government and government enterprises,4.12
Professional and business services,3.35
Manufacturing,2.9
Retail trade,2.43
"Arts, entertainment, recreation, accommodation, and food services",1.87
Wholesale trade,1.49
Information,0.96
Construction,0.84
"Agriculture, forestry, fishing, and hunting",0.65
Utilities,0.57
Transportation and warehousing,0.48
"Mining, quarrying, and oil and gas extraction",0.18
