Response,Share of respondents
Not enough money/Cost of raising child,65%
The state of the economy/Jobs,11%
Personal choice/No desire for children,6%
Poor society/Living in difficult times/Difficult environment,5%
Too selfish/Feel children interfere with personal freedom,4%
Single-parent homes/Divorce/Lack of commitment to marriage,3%
Lack of time/Too busy/Too time consuming,3%
Too many women working/Both parents work/Career concerns,3%
Children are hard work/Stressful,3%
Unable to have children/Cannot conceive,2%
Responsibilities involved/Too much responsibility,2%
Wife or husband not in good health,1%
Parents are older/Waited to have children,1%
Cost of education,1%
Too many children already/Concerned about overpopulation,1%
Uncertainty about the future/Future is bleak,1%
Just don’t like children,1%
Other,1%
No opinion,6%
