Industry,Total compensation per employee
Utilities,162154.41
Management of companies and enterprises,159513.96
Information,151094.52
Finance and insurance,135193.77
Mining,130591.25
"Professional, scientific, and technical services",122038.69
Government,101649.52
Wholesale trade,97623.73
Manufacturing,90398.48
Wages and salaries per full-time equivalent employee,82008.18
Construction,79928.63
Private domestic industries,77730.97
Real estate and rental and leasing,77635.11
Transportation and warehousing,75562.5
Health care and social assistance,70103.4
Educational services,62357.95
"Arts, entertainment, and recreation",61434.95
Administrative and waste management services,55779.74
"Other services, except government",53258.59
Retail trade,47459.14
"Agriculture, forestry, fishing, and hunting",45989.63
Accommodation and food services,36232.62
