Year,GDP in billion international dollars
2021*,5725.13
2020*,5451.45
2019,5711.93
2018,5577.57
2017,5427.37
2016,5213.99
2015,5133.76
2014,5019.48
2013,4909.87
2012,4730.59
2011,4573.19
2010,4484.79
2009,4254.78
2008,4464.4
2007,4427.64
2006,4241.64
2005,4059.4
2004,3872.4
2003,3689.54
2002,3567.75
2001,3508.04
2000,3418.87
1999,3253.67
1998,3215.46
1997,3215.96
1996,3127.79
1995,2979.19
1994,2840.13
1993,2753.41
1992,2703.68
1991,2621.21
1990,2451.67
1989,2253.0
1988,2067.55
1987,1870.23
1986,1742.65
1985,1653.26
1984,1522.88
