Month,Price in GBP per kilogram
Nov '19,0.77
Oct '19,0.72
Sep '19,0.74
Aug '19,0.83
Jul '19,1.07
Jun '19,1.31
May '19,1.16
Dec '18,0.64
Nov '18,0.79
Oct '18,0.81
Sep '18,0.8
Aug '18,0.8
Jul '18,0.89
Jun '18,0.83
May '18,0.88
Dec '17,0.67
Nov '17,0.59
Oct '17,0.58
Sep '17,0.6
Aug '17,0.62
Jul '17,0.64
Jun '17,0.82
May '17,0.6
Apr '17,0.56
Dec '16,0.62
Nov '16,0.65
Oct '16,0.66
Sep '16,0.66
Aug '16,0.67
Jul '16,0.65
Jun '16,0.68
Dec '15,0.5
Nov '15,0.51
Oct '15,0.53
Sep '15,0.56
Aug '15,0.62
Jul '15,0.68
Jun '15,0.7
Dec '14,0.56
Nov '14,0.57
Oct '14,0.54
Sep'14,0.54
Aug '14,0.52
Jul '14,0.59
Jun '14,0.65
