Month,Exchange rate
Oct' 20,9.79
Sep '20,9.1
Aug '20,8.78
Jul '20,8.26
Jun '20,7.68
May '20,7.61
Apr '20,7.6
Mar '20,7.21
Feb '20,6.83
Jan '20,6.61
Dec '19,6.68
Nov '19,6.32
Oct '19,6.36
Sep '19,6.15
Aug '19,6.46
Jul '19,6.16
Jun '19,6.57
May '19,6.53
Apr '19,6.69
Mar '19,6.34
Feb '19,6.07
Jan '19,5.97
Dec '18,6.06
Nov '18,5.88
Oct '18,6.23
Sep '18,6.97
Aug '18,7.64
Jul '18,5.73
Jun '18,5.34
May '18,5.26
Apr '18,4.89
Mar '18,4.65
Feb '18,4.67
Jan '18,4.55
Dec '17,4.55
Nov '17,4.66
Oct '17,4.42
Sep '17,4.2
Aug '17,4.11
Jul '17,4.13
Jun '17,4.01
May '17,3.97
Apr '17,3.88
Mar '17,3.89
Feb '17,3.84
Jan '17,4.06
Dec '16,3.71
Nov '16,3.64
Oct '16,3.4
Sep '16,3.36
Aug '16,3.29
Jul '16,3.35
