Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",18.19
Government and government enterprises,16.39
"Arts, entertainment, recreation, accommodation, and food services",8.69
Professional and business services,7.16
"Educational services, health care, and social assistance",6.8
Retail trade,5.96
Transportation and warehousing,4.5
Construction,4.12
Wholesale trade,2.57
Information,2.22
Manufacturing,1.73
Utilities,1.66
"Agriculture, forestry, fishing, and hunting",0.57
"Mining, quarrying, and oil and gas extraction",0.09
